File,V,E,TalgoLi&,TalgoA,TalgoX,NBalgoLi&,NBalgoA,NBalgoX
tests3_850.point,850,5365,0.0404,7.2061,0,175,164,0
tests10_840.point,840,5013,0.0505,6.8751,0,180,162,0
tests15_950.point,950,6567,0.0478,10.2193,0,183,164,0
tests9_920.point,920,6183,0.0479,10.1084,0,177,169,0
tests0_710.point,710,3715,0.0256,4.49,0,171,156,0
tests1_660.point,660,3060,0.0224,3.7685,0,174,164,0
tests5_880.point,880,5662,0.0411,7.7811,0,174,165,0
tests5_770.point,770,4305,0.0373,5.6027,0,177,163,0
tests15_960.point,960,6687,0.0469,10.0551,0,171,165,0
tests14_830.point,830,5034,0.0395,6.9571,0,178,160,0
tests19_750.point,750,4015,0.0315,5.5138,0,167,151,0
tests15_770.point,770,4220,0.0318,5.4045,0,169,160,0
tests6_630.point,630,2833,0.0234,3.3728,0,171,164,0
tests18_780.point,780,4373,0.0336,6.0515,0,171,160,0
tests16_650.point,650,3010,0.0234,3.5606,0,170,155,0
tests7_540.point,540,2159,0.0193,2.8375,0,172,161,0
tests14_570.point,570,2375,0.0246,3.0472,0,167,148,0
tests6_900.point,900,5629,0.0553,8.4738,0,175,159,0
tests12_960.point,960,6497,0.0473,9.9605,0,169,166,0
tests13_650.point,650,3005,0.0231,3.5127,0,177,153,0
tests4_780.point,780,4380,0.0339,5.8901,0,171,161,0
tests3_730.point,730,3772,0.034,4.9506,0,171,160,0
tests6_840.point,840,5201,0.0412,7.1813,0,171,148,0
tests9_580.point,580,2429,0.0204,2.6367,0,171,157,0
tests8_790.point,790,4382,0.0336,7.8574,0,182,165,0
tests9_830.point,830,4919,0.0372,6.8516,0,176,165,0
tests1_610.point,610,2698,0.0214,4.0302,0,169,156,0
tests19_920.point,920,6003,0.0458,8.8808,0,181,168,0
tests13_810.point,810,4809,0.0351,6.3641,0,171,162,0
tests1_850.point,850,5260,0.0392,7.0692,0,168,151,0
tests0_740.point,740,4002,0.0322,4.9358,0,172,156,0
tests15_790.point,790,4463,0.0365,5.7197,0,178,164,0
tests11_860.point,860,5406,0.0386,7.301,0,173,157,0
tests4_830.point,830,4950,0.037,6.827,0,185,158,0
tests4_650.point,650,3129,0.0233,3.5703,0,175,158,0
tests11_620.point,620,2800,0.0234,3.1468,0,179,152,0
