File,V,E,TalgoLi&,TalgoA,TalgoX,NBalgoLi&,NBalgoA,NBalgoX
input1328,1328,14949,0.081,31.9141,0,169,161,0
input612,612,3351,0.0221,3.3108,0,149,138,0
input500,500,2136,0.0146,1.9393,0,143,130,0
input424,424,1492,0.0094,1.273,0,144,126,0
input933,933,7345,0.0519,11.7341,0,161,144,0
input667,667,3840,0.0253,4.598,0,145,134,0
input906,906,6963,0.0522,14.1653,0,155,148,0
input927,927,7414,0.0482,10.9648,0,160,149,0
input1069,1069,9836,0.0731,19.5451,0,165,150,0
input1153,1153,11408,0.083,21.601,0,158,154,0
input557,557,2716,0.0176,2.9429,0,151,133,0
input1133,1133,10903,0.0663,19.4453,0,168,155,0
input1054,1054,9575,0.0536,15.3316,0,158,150,0
input1192,1192,12175,0.0584,20.9459,0,159,155,0
input994,994,8368,0.0475,12.6742,0,161,144,0
input1136,1136,11099,0.0657,18.799,0,164,155,0
input643,643,3569,0.0212,3.5252,0,158,135,0
input1363,1363,15952,0.0931,29.1977,0,163,152,0
input884,884,6696,0.0396,8.9048,0,157,148,0
input974,974,8307,0.0464,11.7117,0,155,146,0
input729,729,4520,0.0289,5.0332,0,162,145,0
input1218,1218,12519,0.0788,22.3246,0,159,151,0
input1291,1291,13994,0.0649,25.1133,0,164,158,0
input1198,1198,12242,0.0741,19.9397,0,173,151,0
input1064,1064,9522,0.0457,14.7304,0,159,150,0
input1232,1232,13124,0.0636,24.0215,0,158,154,0
input1037,1037,9286,0.0475,14.7682,0,163,147,0
input881,881,6934,0.0317,8.7962,0,151,134,0
input1380,1380,16539,0.0722,33.5523,0,158,152,0
input551,551,2638,0.0135,2.2805,0,156,135,0
input1029,1029,8972,0.0455,13.7542,0,164,152,0
input1349,1349,15530,0.0856,30.7486,0,171,157,0
input582,582,2948,0.0216,2.686,0,155,135,0
input1109,1109,10312,0.0595,16.6523,0,155,157,0
input971,971,7939,0.0518,13.0085,0,161,147,0
input639,639,3413,0.0355,3.9407,0,160,140,0
input1122,1122,10955,0.0605,20.0955,0,161,156,0
input621,621,3225,0.0207,3.1362,0,159,136,0
input909,909,7000,0.0424,9.09,0,162,149,0
input1098,1098,9992,0.0601,17.3252,0,167,162,0
input1358,1358,15554,0.0875,29.667,0,162,159,0
input1237,1237,13396,0.0812,26.5258,0,161,150,0
input1311,1311,14556,0.0794,28.4346,0,169,155,0
input1162,1162,11315,0.0731,19.3104,0,163,156,0
input1007,1007,8744,0.0489,13.7032,0,159,152,0
input794,794,5385,0.0458,7.9094,0,157,144,0
input472,472,2013,0.0146,2.1907,0,147,134,0
input1308,1308,14557,0.0891,33.8489,0,167,156,0
input290,290,1057,0.007,0.5723,0,97,87,0
input1065,1065,9725,0.0552,16.3375,0,157,154,0
input475,475,1902,0.0128,1.6677,0,157,134,0
input1346,1346,15429,0.0854,35.2102,0,164,155,0
input1279,1279,14052,0.0822,28.8841,0,171,157,0
input592,592,3148,0.0178,3.2096,0,146,130,0
input1101,1101,10225,0.0628,19.961,0,160,158,0
input564,564,2718,0.017,2.5975,0,142,131,0
input984,984,8007,0.0552,15.2595,0,172,155,0
input886,886,6512,0.065,11.4077,0,158,156,0
input605,605,3133,0.0328,4.5521,0,155,137,0
input1110,1110,10465,0.0622,17.5581,0,169,149,0
input1163,1163,11352,0.0695,20.1201,0,167,147,0
input720,720,4463,0.0278,6.0177,0,157,146,0
input694,694,4150,0.0255,4.6627,0,143,135,0
input1370,1370,15845,0.1759,33.0656,0,162,150,0
input1241,1241,12713,0.0758,26.1838,0,175,158,0
input664,664,3731,0.0217,4.4771,0,157,149,0
input945,945,7770,0.1101,17.1142,0,147,148,0
input1001,1001,8574,0.0437,13.6663,0,156,144,0
input610,610,3230,0.0196,3.2731,0,155,143,0
input547,547,2522,0.0158,2.2763,0,153,139,0
input1301,1301,14104,0.0782,27.3444,0,169,158,0
input484,484,2107,0.0119,1.688,0,143,126,0
input571,571,2840,0.0178,2.6075,0,155,135,0
input422,422,1524,0.0099,1.2487,0,145,130,0
input517,517,2335,0.0148,2.1065,0,157,140,0
input1186,1186,11778,0.0659,21.269,0,163,149,0
input593,593,2970,0.0183,2.8646,0,156,141,0
input783,783,5238,0.0296,6.2542,0,160,142,0
input583,583,3009,0.0185,2.8892,0,147,136,0
