File,V,E,TalgoLi&,TalgoA,TalgoX,NBalgoLi&,NBalgoA,NBalgoX
tests13_900.point,900,5883,0.0834,18.5035,0,167,160,0
tests4_860.point,860,5360,0.0787,14.8276,0,177,166,0
tests5_580.point,580,2410,0.0322,5.2807,0,170,155,0
tests19_710.point,710,3689,0.0553,9.6728,0,176,160,0
tests15_700.point,700,3479,0.0996,9.3715,0,180,160,0
tests8_950.point,950,6437,0.0885,21.8153,0,169,166,0
tests7_680.point,680,3391,0.0458,8.0367,0,184,158,0
tests1_720.point,720,3682,0.0541,8.8429,0,175,158,0
tests7_760.point,760,4173,0.0552,10.606,0,170,161,0
tests3_930.point,930,6376,0.1335,20.8687,0,169,165,0
tests15_750.point,750,4049,0.0608,11.4562,0,169,156,0
tests7_1000.point,1000,7120,0.1395,23.643,0,180,165,0
tests15_500.point,500,1822,0.0167,2.855,0,169,156,0
tests0_770.point,770,4332,0.0445,8.8323,0,181,164,0
tests3_860.point,860,5361,0.0457,12.0917,0,178,153,0
tests16_860.point,860,5549,0.0602,10.7705,0,172,155,0
tests15_760.point,760,4165,0.0359,7.4613,0,179,158,0
tests13_680.point,680,3281,0.037,5.6412,0,168,155,0
tests12_970.point,970,6769,0.0733,15.3719,0,167,162,0
tests18_580.point,580,2430,0.0288,3.5976,0,175,160,0
tests4_590.point,590,2557,0.0248,3.6524,0,168,155,0
tests5_740.point,740,3858,0.0388,7.0827,0,177,162,0
tests4_510.point,510,1815,0.0197,2.5161,0,178,157,0
tests13_890.point,890,5549,0.0506,11.4502,0,175,166,0
tests0_880.point,880,5531,0.0636,11.1797,0,179,164,0
tests9_590.point,590,2523,0.0268,3.8265,0,176,156,0
tests18_510.point,510,1851,0.0183,2.5464,0,169,150,0
tests16_590.point,590,2522,0.025,3.7991,0,170,151,0
tests11_850.point,850,5357,0.0562,10.2945,0,172,168,0
tests17_530.point,530,2066,0.0156,2.8359,0,168,152,0
tests5_790.point,790,4422,0.0421,8.519,0,172,159,0
tests12_840.point,840,5129,0.0484,9.6947,0,168,157,0
tests13_920.point,920,6146,0.0837,17.5165,0,166,163,0
tests3_960.point,960,6735,0.1072,23.8288,0,181,154,0
tests10_610.point,610,2771,0.0488,7.0242,0,176,155,0
tests17_690.point,690,3460,0.0547,9.6132,0,173,155,0
tests11_570.point,570,2283,0.0337,5.6844,0,180,156,0
tests12_530.point,530,1992,0.0285,4.4295,0,174,155,0
tests6_660.point,660,3099,0.0446,7.7093,0,172,156,0
tests1_540.point,540,2010,0.032,4.1372,0,177,159,0
tests0_830.point,830,4812,0.0881,12.9542,0,171,158,0
tests17_710.point,710,3705,0.0595,10.4237,0,174,152,0
tests10_510.point,510,1900,0.0327,4.4128,0,176,150,0
tests17_980.point,980,6878,0.0997,22.0659,0,175,163,0
tests7_500.point,500,1836,0.0277,3.5587,0,172,151,0
tests5_710.point,710,3552,0.0534,9.2684,0,174,158,0
tests14_990.point,990,7118,0.1497,24.9303,0,179,162,0
tests18_930.point,930,6215,0.1067,19.1939,0,175,176,0
tests10_740.point,740,3897,0.0665,11.2336,0,177,162,0
tests0_720.point,720,3592,0.0746,9.6376,0,168,165,0
tests1_650.point,650,3030,0.042,7.2095,0,166,158,0
tests2_770.point,770,4271,0.0676,12.045,0,182,164,0
tests5_550.point,550,2251,0.0377,5.1259,0,170,148,0
tests1_820.point,820,4806,0.0326,10.8039,0,178,166,0
tests19_530.point,530,1975,0.0138,1.7243,0,179,157,0
tests1_840.point,840,5129,0.0334,5.9701,0,178,155,0
tests7_730.point,730,3964,0.0255,4.0218,0,177,162,0
tests1_760.point,760,4119,0.0251,4.4786,0,171,165,0
tests12_830.point,830,4949,0.0301,5.5638,0,176,164,0
tests17_880.point,880,5542,0.0356,6.6977,0,184,162,0
tests6_890.point,890,5639,0.0357,8.5393,0,174,171,0
tests3_580.point,580,2373,0.0164,2.2738,0,168,155,0
tests7_580.point,580,2458,0.0156,2.1747,0,164,153,0
tests13_520.point,520,1917,0.0124,1.6006,0,174,158,0
tests14_690.point,690,3466,0.0374,6.255,0,175,163,0
tests11_900.point,900,5782,0.0892,17.9284,0,173,159,0
tests19_740.point,740,3935,0.0641,10.6497,0,179,157,0
tests4_520.point,520,1947,0.0392,4.4513,0,177,151,0
tests16_630.point,630,2938,0.045,7.0582,0,177,156,0
tests7_530.point,530,1928,0.0319,4.4199,0,171,157,0
tests17_890.point,890,5681,0.0914,17.0206,0,173,165,0
tests17_1000.point,1000,7030,0.041,18.5424,0,177,162,0
tests16_810.point,810,4618,0.0259,5.3667,0,170,161,0
tests9_880.point,880,5632,0.0337,6.7216,0,174,163,0
tests17_780.point,780,4305,0.0269,5.0777,0,180,174,0
tests15_590.point,590,2483,0.0155,3.1781,0,177,158,0
tests16_770.point,770,4335,0.0262,4.9082,0,170,156,0
tests16_690.point,690,3455,0.0209,4.6892,0,174,161,0
tests12_990.point,990,7277,0.0535,10.7277,0,172,163,0
tests15_990.point,990,6938,0.046,11.2897,0,179,171,0
tests12_630.point,630,2923,0.0178,2.7326,0,168,158,0
tests4_980.point,980,6943,0.0403,10.9857,0,171,168,0
tests2_820.point,820,4764,0.0309,5.7813,0,181,159,0
tests0_860.point,860,5282,0.0315,8.2211,0,178,167,0
tests1_1000.point,1000,7320,0.0495,9.1648,0,186,165,0
tests8_640.point,640,3038,0.0199,2.6887,0,171,155,0
tests6_880.point,880,5535,0.03,6.2213,0,170,157,0
tests13_980.point,980,6829,0.0415,8.6177,0,171,165,0
tests9_670.point,670,3272,0.0212,3.2157,0,169,155,0
tests7_690.point,690,3372,0.0237,3.3887,0,168,153,0
tests14_650.point,650,3080,0.0211,2.8205,0,178,161,0
tests7_970.point,970,6758,0.0421,9.6703,0,177,164,0
tests9_570.point,570,2381,0.0207,2.1448,0,172,158,0
tests3_900.point,900,5902,0.0486,11.4028,0,174,159,0
tests8_890.point,890,5763,0.0363,13.2622,0,179,164,0
tests1_600.point,600,2656,0.0166,2.3609,0,175,153,0
tests7_840.point,840,5234,0.078,9.697,0,171,165,0
tests9_770.point,770,4339,0.0407,6.2791,0,173,161,0
tests14_910.point,910,5881,0.0372,8.5563,0,177,160,0
tests17_670.point,670,3206,0.0221,3.1204,0,179,162,0
